Quarter,Time,Down,ToGo,Location,Detail,CAR,SEA,EPB,EPA
2,1:02,3,9,SEA 35,Timeout #1 by Seattle Seahawks,7,14,0.000,0.000
2,1:02,4,1,SEA 27,Cam Newton up the middle for 1 yard (tackle by Bobby Wagner and Tony McDaniel),7,14,1.820,3.840
2,0:39,1,10,SEA 26,Cam Newton pass complete short left to DeAngelo Williams for 2 yards (tackle by Kam Chancellor),7,14,3.840,3.570
2,0:23,1,10,SEA 26,Timeout #2 by Carolina Panthers,7,14,0.000,0.000
2,0:23,2,8,SEA 24,Cam Newton pass incomplete deep right intended for Kelvin Benjamin is intercepted by Earl Thomas at SEA-2,7,14,3.570,2.870
,,,,,Replay Assistant challenged the incomplete pass ruling and the play was overturned. Cam Newton pass incomplete deep right intended for Kelvin Benjamin (defended by Earl Thomas). Penalty on Russell Okung: Taunting (Offsetting) Penalty on Trai Turner: Unnecessary Roughness (Offsetting),,,,
2,0:18,3,8,SEA 24,Mike Tolbert up the middle for 7 yards (tackle by Kam Chancellor),7,14,2.870,2.460
2,0:04,3,8,SEA 24,Timeout #3 by Carolina Panthers,7,14,0.000,0.000
2,0:04,4,1,SEA 17,Penalty on Chris Scott: False Start 5 yards (no play),7,14,2.460,2.020
2,0:04,4,6,SEA 22,Graham Gano 40 yard field goal no good. Penalty on Kam Chancellor: Running Into the Kicker 5 yards (no play),7,14,2.020,2.460
2,0:00,4,1,SEA 17,Graham Gano 35 yard field goal good. Penalty on Tharold Simon: Defensive Offside (Declined),10,14,2.460,3.000
3,15:00,,,CAR 35,Graham Gano kicks off 65 yards touchback,10,14,0.000,-0.280
3,15:00,1,10,SEA 20,Marshawn Lynch left guard for 3 yards (tackle by Luke Kuechly and Wes Horton),10,14,0.280,0.140
3,14:21,2,7,SEA 23,Marshawn Lynch up the middle for 2 yards (tackle by Wes Horton). Marshawn Lynch fumbles (forced by Wes Horton) recovered by Russell Wilson at SEA-27,10,14,0.140,-0.030
3,13:41,3,3,SEA 27,Russell Wilson pass complete short middle to Paul Richardson for 21 yards (tackle by Tre Boston),10,14,-0.030,2.130
3,13:02,1,10,SEA 48,Russell Wilson pass incomplete deep left intended for Paul Richardson (defended by Bene Benwikere),10,14,2.130,1.580
3,12:54,2,10,SEA 48,Marshawn Lynch left tackle for 3 yards (tackle by Mario Addison and Colin Cole),10,14,1.580,1.290
3,12:11,3,7,CAR 49,Russell Wilson sacked by Mario Addison for -8 yards,10,14,1.290,-0.520
3,11:35,4,15,SEA 43,Jon Ryan punts 45 yards fair catch by Brenton Bersin,10,14,-0.520,0.350
3,11:26,1,10,CAR 12,Jerricho Cotchery right end for no gain (tackle by Kam Chancellor),10,14,-0.350,-0.780
3,10:48,2,10,CAR 12,Jonathan Stewart up the middle for 6 yards (tackle by K.J. Wright and Earl Thomas),10,14,-0.780,-0.720
3,10:05,3,4,CAR 18,Cam Newton pass complete short left to Kelvin Benjamin for 6 yards (tackle by Tharold Simon),10,14,-0.720,0.540
3,9:38,1,10,CAR 24,Cam Newton pass complete deep middle to Greg Olsen for 18 yards (tackle by Tharold Simon),10,14,0.540,1.730
3,8:49,1,10,CAR 42,Cam Newton pass complete short left to Jerricho Cotchery for 3 yards (tackle by Kam Chancellor),10,14,1.730,1.590
3,8:19,2,7,CAR 45,Cam Newton pass complete short right to Ed Dickson for 14 yards (tackle by Bobby Wagner),10,14,1.590,2.850
3,7:35,1,10,SEA 41,Cam Newton sacked by Cliff Avril for -8 yards,10,14,2.850,1.230
3,6:49,2,18,SEA 49,Cam Newton pass incomplete short left intended for Greg Olsen,10,14,1.230,0.560
3,6:42,3,18,SEA 49,Cam Newton pass incomplete short left intended for Philly Brown,10,14,0.560,0.000
3,6:36,4,18,SEA 49,Brad Nortman punts 37 yards fair catch by Bryan Walters,10,14,0.000,0.350
3,6:27,1,10,SEA 12,Russell Wilson right tackle for 14 yards (tackle by Dwan Edwards),10,14,-0.350,0.670
3,5:44,1,10,SEA 26,Russell Wilson pass incomplete short left intended for Cooper Helfet (defended by Colin Jones),10,14,0.670,0.130
3,5:39,2,10,SEA 26,Penalty on Kawann Short: Encroachment 5 yards (no play),10,14,0.130,0.810
3,5:39,2,5,SEA 31,Robert Turbin up the middle for 4 yards (tackle by Luke Kuechly and Charles Johnson),10,14,0.810,0.630
3,5:00,3,1,SEA 35,Russell Wilson pass complete short right to Luke Willson for 6 yards (tackle by Josh Norman),10,14,0.630,1.660
3,4:21,1,10,SEA 41,Marshawn Lynch for 25 yards,10,14,1.660,3.310
3,3:30,1,10,CAR 34,Russell Wilson right end for 4 yards (tackle by Roman Harper),10,14,3.310,3.310
3,2:55,2,6,CAR 30,Russell Wilson pass incomplete deep right intended for Jermaine Kearse (defended by Josh Norman). Penalty on Roman Harper: Defensive Holding 5 yards (no play),10,14,3.310,3.910
3,2:49,1,10,CAR 25,Robert Turbin right tackle for 4 yards (tackle by Luke Kuechly and Kawann Short),10,14,3.910,3.900
3,2:09,2,6,CAR 21,Russell Wilson left end for 7 yards,10,14,3.900,4.650
3,1:25,1,10,CAR 14,Robert Turbin right guard for 2 yards (tackle by Thomas Davis),10,14,4.650,4.330
3,0:42,2,8,CAR 12,Marshawn Lynch right tackle for 5 yards (tackle by Roman Harper and Adarius Glanton),10,14,4.330,4.500
3,0:04,3,3,CAR 7,Russell Wilson sacked by Thomas Davis for -12 yards,10,14,4.500,2.180
4,15:00,4,15,CAR 19,Steven Hauschka 37 yard field goal good,10,17,2.180,3.000
4,15:00,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,10,17,0.000,-0.280
4,14:55,1,10,CAR 20,Cam Newton pass complete short left to Greg Olsen for 10 yards (tackle by Bobby Wagner). Penalty on Mike Remmers: Illegal Use of Hands 10 yards (no play),10,17,0.280,-0.760
4,14:28,1,20,CAR 10,Jonathan Stewart up the middle for 8 yards (tackle by Kam Chancellor),10,17,-0.760,-0.630
4,13:46,2,12,CAR 18,Cam Newton right end for 1 yard (tackle by O'Brien Schofield),10,17,-0.630,-1.140
4,13:13,3,11,CAR 19,Cam Newton pass incomplete short middle intended for Mike Tolbert,10,17,-1.140,-2.140
4,13:06,4,11,CAR 19,Brad Nortman punts 48 yards returned by Bryan Walters for 9 yards (tackle by Brandon Williams),10,17,-2.140,-1.730
4,12:53,1,10,SEA 42,Robert Turbin left tackle for -1 yards (tackle by Kawann Short and Kony Ealy),10,17,1.730,1.050
4,12:18,2,11,SEA 41,Russell Wilson pass complete short right to Marshawn Lynch for 5 yards (tackle by Thomas Davis and Colin Jones),10,17,1.050,1.030
4,11:46,3,6,SEA 46,Russell Wilson pass complete short right to Luke Willson for 29 yards (tackle by Roman Harper and Luke Kuechly),10,17,1.030,3.910
4,11:18,1,10,CAR 25,Russell Wilson pass incomplete deep left intended for Ricardo Lockette,10,17,3.910,3.360
4,11:11,2,10,CAR 25,Marshawn Lynch up the middle for no gain (tackle by Kony Ealy and Kyle Love),10,17,3.360,2.680
4,10:33,3,10,CAR 25,Russell Wilson pass complete short right to Luke Willson for 25 yards touchdown,10,23,2.680,7.000
4,10:33,,,,Steven Hauschka kicks extra point good,10,24,0.000,0.000
4,10:33,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,10,24,0.000,-0.280
4,10:26,1,10,CAR 20,Cam Newton sacked by Bruce Irvin for -8 yards,10,24,0.280,-1.360
4,9:42,2,18,CAR 12,Jonathan Stewart left tackle for 5 yards (tackle by Michael Bennett and Bobby Wagner),10,24,-1.360,-1.510
4,9:04,3,13,CAR 17,Cam Newton pass complete short middle to Ed Dickson for 19 yards (tackle by Earl Thomas),10,24,-1.510,1.330
4,8:34,1,10,CAR 36,Cam Newton up the middle for 2 yards (tackle by Michael Bennett and Bobby Wagner),10,24,1.330,1.060
4,7:56,2,8,CAR 38,Cam Newton pass complete short left to Kelvin Benjamin for 12 yards (tackle by Tharold Simon),10,24,1.060,2.260
4,7:22,1,10,50,Cam Newton pass complete deep middle to Greg Olsen for 31 yards (tackle by Earl Thomas),10,24,2.260,4.310
4,6:41,1,10,SEA 19,Cam Newton left end for 6 yards (tackle by Earl Thomas),10,24,4.310,4.720
4,6:11,2,4,SEA 13,Cam Newton pass incomplete short right intended for Ed Dickson is intercepted by Kam Chancellor at SEA-10 and returned for 90 yards touchdown,10,30,4.720,-7.000
4,5:55,,,,Steven Hauschka kicks extra point good,10,31,0.000,0.000
4,5:55,,,SEA 35,Steven Hauschka kicks off 67 yards returned by Fozzy Whittaker for 19 yards (tackle by Bryan Walters),10,31,0.000,0.060
4,5:49,1,10,CAR 17,Jonathan Stewart up the middle for 16 yards (tackle by Richard Sherman and Kam Chancellor),10,31,-0.060,1.140
4,5:14,1,10,CAR 33,Cam Newton pass complete short right to Greg Olsen for 5 yards (tackle by K.J. Wright),10,31,1.140,1.270
4,4:48,2,5,CAR 38,Cam Newton pass incomplete deep left intended for Jerricho Cotchery (defended by Earl Thomas),10,31,1.270,0.560
4,4:42,3,5,CAR 38,Cam Newton pass complete short left to Kelvin Benjamin for 28 yards (tackle by Kam Chancellor),10,31,0.560,3.310
4,4:09,3,5,CAR 38,Timeout #1 by Seattle Seahawks,10,31,0.000,0.000
4,4:09,1,10,SEA 34,Penalty on K.J. Wright: Neutral Zone Infraction 5 yards (no play),10,31,3.310,4.040
4,4:09,1,5,SEA 29,Cam Newton pass complete short middle to Greg Olsen for 4 yards (tackle by Bobby Wagner),10,31,4.040,3.990
4,3:43,2,1,SEA 25,Fozzy Whittaker left guard for 1 yard (tackle by Will Tukuafu),10,31,3.990,3.970
4,3:12,1,10,SEA 24,Cam Newton pass complete short middle to Jerricho Cotchery for 9 yards (tackle by Jeremy Lane),10,31,3.970,4.850
4,2:41,2,1,SEA 15,Cam Newton pass complete short left to Kelvin Benjamin for 15 yards touchdown,16,31,4.850,7.000
4,2:41,,,,Graham Gano kicks extra point good,17,31,0.000,0.000
4,2:41,,,CAR 35,Graham Gano kicks onside 22 yards recovered by Jermaine Kearse,17,31,0.000,-1.800
4,2:33,1,10,SEA 43,Robert Turbin up the middle for 3 yards (tackle by Charles Johnson and Kawann Short),17,31,1.800,1.660
4,2:25,1,10,SEA 43,Timeout #1 by Carolina Panthers,17,31,0.000,0.000
4,2:25,2,7,SEA 46,Robert Turbin up the middle for 13 yards (tackle by Tre Boston),17,31,1.660,2.850
4,2:18,2,7,SEA 46,Timeout #2 by Carolina Panthers,17,31,0.000,0.000
4,2:18,1,10,CAR 41,Robert Turbin left end for -6 yards (tackle by Kony Ealy),17,31,2.850,1.500
4,2:12,1,10,CAR 41,Timeout #3 by Carolina Panthers,17,31,0.000,0.000
4,2:12,2,16,CAR 47,Russell Wilson pass complete deep right to Jermaine Kearse for 33 yards (tackle by Roman Harper),17,31,1.500,4.650
4,2:00,1,10,CAR 14,Russell Wilson kneels for -1 yards,17,31,4.650,3.850
4,1:19,2,11,CAR 15,Russell Wilson kneels for -1 yards,17,31,3.850,3.000
4,0:39,3,12,CAR 16,Russell Wilson kneels for -1 yards,17,31,3.000,2.310
