Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
2,2:06,2,5,SEA 38,Peyton Manning pass complete short middle to Julius Thomas for 11 yards (tackle by Richard Sherman and Kam Chancellor),22,0,2.850,3.780
2,1:55,1,10,SEA 27,Peyton Manning pass incomplete deep middle intended for Julius Thomas,22,0,3.780,3.230
2,1:48,2,10,SEA 27,Peyton Manning pass complete short right to Knowshon Moreno for 6 yards (tackle by Tony McDaniel),22,0,3.230,3.340
2,1:18,3,4,SEA 21,Penalty on Louis Vasquez: False Start 5 yards (no play),22,0,3.340,2.680
2,1:16,3,9,SEA 26,Peyton Manning pass complete short middle to Knowshon Moreno for 7 yards (tackle by Kam Chancellor and Bobby Wagner),22,0,2.680,2.310
2,1:06,3,9,SEA 26,Timeout #2 by Seattle Seahawks,22,0,0.000,0.000
2,1:06,4,2,SEA 19,Peyton Manning pass incomplete short left intended for Demaryius Thomas (defended by Chris Clemons),22,0,2.310,-0.150
2,1:01,1,10,SEA 19,Marshawn Lynch up the middle for 4 yards (tackle by Malik Jackson and Wesley Woodyard),22,0,0.150,0.210
2,0:42,2,6,SEA 23,Marshawn Lynch up the middle for 1 yard (tackle by Malik Jackson and Shaun Phillips),22,0,0.210,-0.420
3,15:00,,,DEN 35,Matt Prater kicks off no gain returned by Percy Harvin for 87 yards touchdown,28,0,0.000,7.000
3,15:00,,,,Steven Hauschka kicks extra point good,29,0,0.000,0.000
3,15:00,,,SEA 35,Steven Hauschka kicks off 66 yards returned by Trindon Holliday for 24 yards (tackle by Heath Farwell),29,0,0.000,-0.480
3,14:40,1,10,DEN 23,Peyton Manning pass incomplete short right intended for Wes Welker,29,0,0.480,-0.070
3,14:36,2,10,DEN 23,Peyton Manning pass complete short left to Wes Welker for 14 yards (tackle by Bobby Wagner),29,0,-0.070,1.400
3,14:07,1,10,DEN 37,Peyton Manning pass incomplete deep right intended for Eric Decker,29,0,1.400,0.860
3,13:59,2,10,DEN 37,Peyton Manning pass complete short middle to Knowshon Moreno for 7 yards (tackle by Bobby Wagner and K.J. Wright),29,0,0.860,1.090
3,13:33,3,3,DEN 44,Peyton Manning pass complete short right to Eric Decker for 6 yards (tackle by Richard Sherman and Kam Chancellor),29,0,1.090,2.260
3,13:03,1,10,50,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Bruce Irvin and Kam Chancellor),29,0,2.260,2.250
3,12:45,2,6,SEA 46,Peyton Manning pass complete short middle to Demaryius Thomas for 3 yards (tackle by K.J. Wright),29,0,2.250,1.950
3,12:09,3,3,SEA 43,Penalty on Red Bryant: Neutral Zone Infraction 5 yards (no play),29,0,1.950,3.050
3,11:47,1,10,SEA 38,Peyton Manning pass incomplete deep right intended for Demaryius Thomas,29,0,3.050,2.510
3,11:38,2,10,SEA 38,Peyton Manning pass incomplete deep left intended for Wes Welker (defended by Kam Chancellor),29,0,2.510,1.820
3,11:32,3,10,SEA 38,Montee Ball up the middle for -1 yards (tackle by K.J. Wright),29,0,1.820,0.660
3,10:54,4,11,SEA 39,Britton Colquitt punts 31 yards fair catch by Golden Tate,29,0,0.660,0.380
3,10:38,1,10,SEA 8,Marshawn Lynch right guard for 18 yards (tackle by Mike Adams and Duke Ihenacho),29,0,-0.380,0.670
3,10:00,1,10,SEA 26,Marshawn Lynch left tackle for no gain (tackle by Danny Trevathan),29,0,0.670,0.130
3,9:24,2,10,SEA 26,Russell Wilson for 22 yards (tackle by Dominique Rodgers-Cromartie). Penalty on Russell Okung: Offensive Holding 10 yards (no play),29,0,0.130,-1.370
3,8:54,2,20,SEA 16,Robert Turbin right guard for 3 yards (tackle by Malik Jackson and Terrance Knighton),29,0,-1.370,-1.580
3,7:58,3,17,SEA 19,Russell Wilson pass complete short right to Golden Tate for no gain,29,0,-1.580,-2.140
3,7:17,4,17,SEA 19,Jon Ryan punts 45 yards returned by Eric Decker for 9 yards (tackle by Malcolm Smith),29,0,-2.140,-1.930
3,7:05,1,10,DEN 45,Montee Ball right tackle for 1 yard (tackle by Clinton McDonald and Malcolm Smith),29,0,1.930,1.520
3,6:37,2,9,DEN 46,Peyton Manning pass complete short middle to Demaryius Thomas for 10 yards (tackle by Earl Thomas and Bobby Wagner),29,0,1.520,2.650
3,6:08,1,10,SEA 44,Peyton Manning pass complete deep left to Demaryius Thomas for 23 yards (tackle by Byron Maxwell). Demaryius Thomas fumbles (forced by Byron Maxwell) recovered by Malcolm Smith at SEA-20 and returned for 7 yards (tackle by Julius Thomas). Penalty on Orlando Franklin: Unnecessary Roughness 15 yards,29,0,2.650,-1.730
3,5:55,1,10,SEA 42,Marshawn Lynch right tackle for 3 yards (tackle by Terrance Knighton and Jeremy Mincey),29,0,1.730,1.590
3,5:20,2,7,SEA 45,Russell Wilson pass incomplete short left intended for Luke Willson,29,0,1.590,0.890
3,5:09,3,7,SEA 45,Russell Wilson pass complete short right to Luke Willson for 12 yards (tackle by Mike Adams),29,0,0.890,2.720
3,4:42,1,10,DEN 43,Marshawn Lynch up the middle for 1 yard (tackle by Nate Irving and Danny Trevathan),29,0,2.720,2.310
3,3:58,2,9,DEN 42,Russell Wilson pass complete deep right to Ricardo Lockette for 19 yards (tackle by Dominique Rodgers-Cromartie),29,0,2.310,4.040
3,3:11,1,10,DEN 23,Russell Wilson pass complete short right to Jermaine Kearse for 23 yards touchdown,35,0,4.040,7.000
3,3:11,,,,Steven Hauschka kicks extra point good,36,0,0.000,0.000
