Quarter,Time,Down,ToGo,Location,Detail,SFO,SEA,EPB,EPA
3,7:12,2,3,SEA 47,Marshawn Lynch left tackle for 13 yards (tackle by Dan Skuta and Dontae Johnson),7,3,2.000,2.920
3,6:32,1,10,SFO 40,Christine Michael right tackle for 1 yard (tackle by Quinton Dial),7,3,2.920,2.510
3,5:52,2,9,SFO 39,Marshawn Lynch left end for 15 yards (tackle by Leon McFadden),7,3,2.510,3.970
3,5:17,1,10,SFO 24,Russell Wilson pass incomplete short right intended for Tony Moeaki,7,3,3.970,3.430
3,5:09,2,10,SFO 24,Marshawn Lynch right tackle for no gain (tackle by Tony Jerod-Eddie),7,3,3.430,2.740
3,4:25,3,10,SFO 24,Russell Wilson pass complete short right to Paul Richardson for 11 yards (tackle by Perrish Cox),7,3,2.740,4.710
3,3:46,1,10,SFO 13,Marshawn Lynch right tackle for 1 yard (tackle by Quinton Dial),7,3,4.710,4.220
3,3:05,2,9,SFO 12,Robert Turbin up the middle for 8 yards (tackle by Perrish Cox),7,3,4.220,5.010
3,2:24,3,1,SFO 4,Marshawn Lynch right guard for 4 yards touchdown,7,9,5.010,7.000
3,2:24,,,,Steven Hauschka kicks extra point good,7,10,0.000,0.000
3,2:24,,,SEA 35,Steven Hauschka kicks off 68 yards returned by Bruce Ellington for 21 yards (tackle by Earl Thomas),7,10,0.000,-0.040
3,2:15,1,10,SFO 18,Carlos Hyde left tackle for no gain (tackle by Bobby Wagner),7,10,0.040,-0.490
3,1:47,1,10,SFO 18,Timeout #2 by Seattle Seahawks,7,10,0.000,0.000
3,1:47,2,10,SFO 18,Colin Kaepernick pass incomplete short left intended for Anquan Boldin,7,10,-0.490,-1.170
3,1:41,3,10,SFO 18,Colin Kaepernick sacked by Jordan Hill for -8 yards,7,10,-1.170,-2.490
3,0:56,4,18,SFO 10,Andy Lee punts 53 yards returned by Bryan Walters for 19 yards (tackle by Michael Wilhoite),7,10,-2.490,-2.650
3,0:45,1,10,SFO 44,Marshawn Lynch right guard for 5 yards (tackle by Justin Smith and Nick Moody),7,10,2.650,2.780
3,0:12,2,5,SFO 39,Russell Wilson for 19 yards (tackle by Eric Reid),7,10,2.780,4.240
4,15:00,1,10,SFO 20,Marshawn Lynch right tackle for 5 yards (tackle by Ray McDonald),7,10,4.240,4.450
4,14:24,2,5,SFO 15,Russell Wilson pass incomplete short right intended for Christine Michael,7,10,4.450,3.700
4,14:15,2,5,SFO 15,Timeout #3 by Seattle Seahawks,7,10,0.000,0.000
4,14:15,3,5,SFO 15,Russell Wilson pass incomplete short right intended for Paul Richardson. Penalty on Nick Moody: Roughing the Passer 8 yards (no play),7,10,3.700,5.600
4,14:10,1,7,SFO 7,Marshawn Lynch left end for -3 yards (tackle by Alfonso Smith),7,10,5.600,4.190
4,13:24,2,10,SFO 10,Russell Wilson pass complete short middle to Paul Richardson for 10 yards touchdown,7,16,4.190,7.000
4,13:24,,,,Steven Hauschka kicks extra point good,7,17,0.000,0.000
4,13:24,,,SEA 35,Steven Hauschka kicks off 70 yards returned by Bruce Ellington for 19 yards (tackle by Jeron Johnson). Penalty on Craig Dahl: Offensive Holding 7 yards,7,17,0.000,0.380
4,13:16,1,10,SFO 7,Alfonso Smith right tackle for -3 yards (tackle by Bobby Wagner),7,17,-0.380,-1.000
4,12:38,2,13,SFO 4,Colin Kaepernick pass complete short left to Michael Crabtree for 10 yards (tackle by Bruce Irvin),7,17,-1.000,-0.600
4,12:05,3,3,SFO 14,Colin Kaepernick pass complete short left to Anquan Boldin for 8 yards (tackle by Tharold Simon),7,17,-0.600,0.410
4,11:31,1,10,SFO 22,Alfonso Smith up the middle for 2 yards (tackle by Bobby Wagner),7,17,0.410,0.140
4,11:03,2,8,SFO 24,Colin Kaepernick for 5 yards,7,17,0.140,0.100
4,10:29,3,3,SFO 29,Colin Kaepernick pass complete short left to Bruce Miller for 11 yards (tackle by Earl Thomas),7,17,0.100,1.600
4,9:50,1,10,SFO 40,Colin Kaepernick left end for 1 yard (tackle by Bobby Wagner),7,17,1.600,1.190
4,9:17,2,9,SFO 41,Colin Kaepernick left tackle for 8 yards (tackle by Bruce Irvin),7,17,1.190,1.550
4,8:32,3,1,SFO 49,Colin Kaepernick pass incomplete short right intended for Asante Cleveland. Penalty on Joe Looney: Ineligible Downfield Pass (Declined),7,17,1.550,-0.130
4,8:26,4,1,SFO 49,Bruce Miller up the middle for 4 yards (tackle by Cliff Avril),7,17,-0.130,2.460
4,7:50,1,10,SEA 47,Colin Kaepernick left tackle for 2 yards (tackle by K.J. Wright),7,17,2.460,2.180
4,7:04,2,8,SEA 45,Alfonso Smith up the middle for 6 yards (tackle by Earl Thomas),7,17,2.180,2.280
4,6:20,3,2,SEA 39,Alfonso Smith up the middle for 1 yard (tackle by Jordan Hill),7,17,2.280,0.720
4,5:37,4,1,SEA 38,Bruce Miller up the middle for no gain (tackle by O'Brien Schofield),7,17,0.720,-1.470
4,5:30,1,10,SEA 38,Marshawn Lynch left tackle for 2 yards (tackle by Antoine Bethea and Tank Carradine). Penalty on Justin Britt: Clipping 15 yards (no play),7,17,1.470,0.480
4,5:10,1,25,SEA 23,Marshawn Lynch up the middle for 2 yards (tackle by Alfonso Smith and Aaron Lynch),7,17,0.480,-0.830
4,4:28,2,23,SEA 25,Russell Wilson sacked by Tank Carradine for -7 yards,7,17,-0.830,-2.750
4,4:20,2,23,SEA 25,Timeout #1 by San Francisco 49ers,7,17,0.000,0.000
4,4:20,3,30,SEA 18,Russell Wilson sacked by Tank Carradine for -9 yards,7,17,-2.750,-2.490
4,4:15,3,30,SEA 18,Timeout #2 by San Francisco 49ers,7,17,0.000,0.000
4,4:15,4,39,SEA 9,Jon Ryan punts 49 yards returned by Bruce Ellington for 3 yards (tackle by O'Brien Schofield),7,17,-2.490,-1.930
4,4:02,1,10,SFO 45,Colin Kaepernick pass incomplete short left intended for Brandon Lloyd,7,17,1.930,1.380
4,3:59,2,10,SFO 45,Colin Kaepernick sacked by Bruce Irvin for -8 yards,7,17,1.380,-0.360
4,3:22,3,18,SFO 37,Colin Kaepernick pass complete short middle to Bruce Miller for 14 yards (tackle by Bobby Wagner),7,17,-0.360,0.000
4,2:38,4,4,SEA 49,Colin Kaepernick pass incomplete short left intended for Bruce Miller,7,17,0.000,-2.190
4,2:32,1,10,SEA 49,Marshawn Lynch right end for 7 yards (tackle by Perrish Cox and Nick Moody),7,17,2.190,2.590
4,2:18,1,10,SEA 49,Timeout #3 by San Francisco 49ers,7,17,0.000,0.000
4,2:18,2,3,SFO 44,Marshawn Lynch up the middle for 2 yards (tackle by Quinton Dial and Nick Moody),7,17,2.590,2.150
4,2:00,3,1,SFO 42,Marshawn Lynch right guard for 4 yards (tackle by Antoine Bethea),7,17,2.150,3.050
4,1:17,1,10,SFO 38,Russell Wilson kneels for -1 yards,7,17,3.050,2.370
4,0:38,2,11,SFO 39,Russell Wilson kneels for -1 yards,7,17,2.370,1.550
