Quarter,Time,Down,ToGo,Location,Detail,SEA,SFO,EPB,EPA
2,5:00,2,12,SFO 18,Colin Kaepernick pass complete short left to Michael Crabtree for 2 yards (tackle by Bobby Wagner),13,0,-0.630,-0.960
2,4:17,3,10,SFO 20,Colin Kaepernick pass incomplete short right intended for Brandon Lloyd,13,0,-0.960,-2.030
2,4:13,4,10,SFO 20,Andy Lee punts 48 yards fair catch by Doug Baldwin. Penalty on Tharold Simon: Offensive Holding 10 yards,13,0,-2.030,-0.410
2,4:05,1,10,SEA 22,Russell Wilson pass incomplete short right intended for Doug Baldwin. Penalty on James Carpenter: Illegal Use of Hands 10 yards (no play),13,0,0.410,-0.660
2,4:00,1,20,SEA 12,Marshawn Lynch up the middle for 8 yards (tackle by Justin Smith),13,0,-0.660,-0.400
2,3:24,2,12,SEA 20,Marshawn Lynch right tackle for 5 yards (tackle by Tank Carradine),13,0,-0.400,-0.430
2,2:40,3,7,SEA 25,Russell Wilson pass incomplete short middle intended for Jermaine Kearse (defended by Craig Dahl),13,0,-0.430,-1.700
2,2:36,4,7,SEA 25,Jon Ryan fumbles recovered by Jon Ryan at SEA-13. Jon Ryan punts 45 yards returned by Perrish Cox for 9 yards (tackle by Ricardo Lockette)Jon Ryan fumbles (forced by Ricardo Lockette) recovered by O'Brien Schofield at SFO-40.,13,0,-1.700,2.920
2,2:23,1,10,SFO 40,Russell Wilson pass complete short left to Marshawn Lynch for 7 yards (tackle by Michael Wilhoite and Chris Culliver). Penalty on Marshawn Lynch: Taunting 15 yards,13,0,2.920,1.290
2,2:00,2,18,SFO 48,Russell Wilson sacked by Tony Jerod-Eddie for -4 yards. Russell Wilson fumbles recovered by Russell Wilson at SEA-48,13,0,1.290,0.100
2,1:03,3,22,SEA 48,Marshawn Lynch up the middle for 3 yards (tackle by Michael Wilhoite),13,0,0.100,0.000
2,0:50,3,22,SEA 48,Timeout #2 by San Francisco 49ers,13,0,0.000,0.000
2,0:49,4,19,SFO 49,Jon Ryan punts 49 yards touchback,13,0,0.000,-0.280
2,0:43,1,10,SFO 20,Colin Kaepernick pass complete short right to Steve Johnson for 8 yards (tackle by Tharold Simon),13,0,0.280,0.810
2,0:18,2,2,SFO 28,Colin Kaepernick pass incomplete short left intended for Steve Johnson. Penalty on Tharold Simon: Defensive Holding 5 yards (no play),13,0,0.810,1.140
2,0:12,1,10,SFO 33,Colin Kaepernick left tackle for 5 yards (tackle by Earl Thomas),13,0,1.140,1.270
2,0:06,1,10,SFO 33,Timeout #3 by San Francisco 49ers,13,0,0.000,0.000
2,0:06,2,5,SFO 38,Colin Kaepernick pass complete short left to Steve Johnson for 13 yards (tackle by K.J. Wright),13,0,1.270,2.320
3,15:00,,,SFO 35,Phil Dawson kicks off 70 yards returned by Paul Richardson for 23 yards (tackle by Kassim Osgood),13,0,0.000,-0.040
3,14:56,1,10,SEA 18,Russell Wilson pass complete deep right to Jermaine Kearse for 17 yards (tackle by Perrish Cox). Penalty on Perrish Cox: Illegal Contact (Declined),13,0,0.040,1.270
3,14:28,1,10,SEA 35,Marshawn Lynch left end for 3 yards (tackle by Eric Reid and Quinton Dial),13,0,1.270,1.130
3,13:43,2,7,SEA 38,Russell Wilson right tackle for 3 yards (tackle by Quinton Dial),13,0,1.130,0.830
3,12:58,3,4,SEA 41,Russell Wilson pass complete short middle to Paul Richardson for 6 yards (tackle by Michael Wilhoite),13,0,0.830,2.060
3,12:19,1,10,SEA 47,Marshawn Lynch left tackle for 6 yards (tackle by Tank Carradine and Ahmad Brooks),13,0,2.060,2.330
3,11:40,2,4,SFO 47,Robert Turbin up the middle for 5 yards (tackle by Quinton Dial),13,0,2.330,2.790
