Quarter,Time,Down,ToGo,Location,Detail,SEA,ARI,EPB,EPA
2,2:59,1,10,CRD 35,Ryan Lindley pass incomplete deep left intended for Michael Floyd. Penalty on Jordan Hill: Illegal Use of Hands 5 yards (no play),14,3,1.270,1.600
2,2:53,1,10,CRD 40,Ryan Lindley pass incomplete short left intended for Larry Fitzgerald. Penalty on Byron Maxwell: Defensive Holding 5 yards (no play),14,3,1.600,1.930
2,2:49,1,10,CRD 45,Ryan Lindley sacked by O'Brien Schofield for -10 yards,14,3,1.930,0.030
2,2:05,2,20,CRD 35,Ryan Lindley pass incomplete short left intended for John Brown,14,3,0.030,-0.630
2,1:59,3,20,CRD 35,Ryan Lindley pass incomplete short left intended for Marion Grice. Penalty on Bobby Massie: Illegal Use of Hands (Declined),14,3,-0.630,-1.040
2,1:52,4,20,CRD 35,Drew Butler punts 43 yards fair catch by Bryan Walters. Penalty on Brock Coyle: Unnecessary Roughness 11 yards,14,3,-1.040,0.370
2,1:43,1,10,SEA 11,Robert Turbin up the middle for 9 yards (tackle by Tommy Kelly),14,3,-0.370,0.360
2,1:20,2,1,SEA 20,Russell Wilson pass complete short left to Paul Richardson for 22 yards (tackle by Larry Foote),14,3,0.360,1.730
2,0:52,1,10,SEA 42,Russell Wilson up the middle for 4 yards (tackle by Josh Mauro),14,3,1.730,1.730
2,0:24,2,6,SEA 46,Russell Wilson pass complete short left to Paul Richardson for 11 yards (tackle by Antonio Cromartie),14,3,1.730,2.720
2,0:24,1,10,CRD 43,Russell Wilson spiked the ball,14,3,2.720,2.180
2,0:08,2,10,CRD 43,Russell Wilson pass incomplete deep left intended for Doug Baldwin,14,3,2.180,1.490
2,0:03,3,10,CRD 43,Russell Wilson pass complete short right to Bryan Walters for 13 yards (tackle by Deone Bucannon). Penalty on James Carpenter: Ineligible Downfield Pass (Declined),14,3,1.490,1.860
3,15:00,,,SEA 35,Steven Hauschka kicks off 70 yards returned by Ted Ginn for 22 yards (tackle by Tharold Simon),14,3,0.000,0.060
3,14:53,1,10,CRD 17,Stepfan Taylor up the middle for -3 yards (tackle by Michael Bennett and Bruce Irvin),14,3,-0.060,-0.970
3,14:17,2,13,CRD 14,Ryan Lindley pass incomplete short left intended for Stepfan Taylor (defended by Cliff Avril),14,3,-0.970,-1.720
3,14:14,3,13,CRD 14,Ryan Lindley pass incomplete deep left intended for Jaron Brown,14,3,-1.720,-2.470
3,14:07,4,13,CRD 14,Drew Butler punts 39 yards out of bounds,14,3,-2.470,-2.060
3,13:58,1,10,SEA 47,Russell Wilson pass complete deep middle to Doug Baldwin for 20 yards (tackle by Tony Jefferson),14,3,2.060,3.380
3,13:23,1,10,CRD 33,Russell Wilson left end for no gain (tackle by Tony Jefferson),14,3,3.380,2.840
3,12:45,2,10,CRD 33,Russell Wilson pass complete short right to Paul Richardson for -2 yards (tackle by Jerraud Powers),14,3,2.840,1.880
3,12:02,3,12,CRD 35,Russell Wilson pass complete short left to Doug Baldwin for 3 yards (tackle by Tyrann Mathieu),14,3,1.880,1.240
3,11:42,4,9,CRD 32,Steven Hauschka 50 yard field goal no good,14,3,1.240,-1.600
3,11:36,1,10,CRD 40,Ryan Lindley pass complete short right to Stepfan Taylor for 7 yards (tackle by Cliff Avril),14,3,1.600,2.000
3,10:54,2,3,CRD 47,Stepfan Taylor up the middle for 2 yards (tackle by Richard Sherman),14,3,2.000,1.550
3,10:13,3,1,CRD 49,Ryan Lindley pass incomplete short left intended for Larry Fitzgerald (defended by Byron Maxwell),14,3,1.550,-0.130
3,10:07,4,1,CRD 49,Drew Butler punts 46 yards fair catch by Bryan Walters,14,3,-0.130,0.380
3,9:59,1,10,SEA 5,Marshawn Lynch right end for 6 yards (tackle by Tony Jefferson),14,3,-0.380,-0.340
3,9:15,2,4,SEA 11,Marshawn Lynch up the middle for no gain (tackle by Matt Shaughnessy and Tommy Kelly),14,3,-0.340,-0.720
3,8:30,3,4,SEA 11,Russell Wilson pass incomplete short middle intended for Paul Richardson (defended by Patrick Peterson),14,3,-0.720,-2.490
3,8:25,4,4,SEA 11,Jon Ryan punts 45 yards fair catch by Ted Ginn,14,3,-2.490,-1.860
3,8:16,1,10,CRD 44,Stepfan Taylor up the middle for 2 yards (tackle by K.J. Wright),14,3,1.860,1.590
3,7:43,2,8,CRD 46,Ryan Lindley pass incomplete deep left intended for Larry Fitzgerald,14,3,1.590,0.890
3,7:37,3,8,CRD 46,Ryan Lindley pass incomplete short middle intended for Michael Floyd,14,3,0.890,-0.320
3,7:31,4,8,CRD 46,Drew Butler punts 54 yards touchback,14,3,-0.320,-0.280
3,7:21,1,10,SEA 20,Russell Wilson pass complete deep left to Doug Baldwin for 49 yards (tackle by Tony Jefferson),14,3,0.280,3.510
3,6:55,1,10,CRD 31,Russell Wilson left end for 2 yards (tackle by Rashad Johnson),14,3,3.510,3.240
3,6:24,2,8,CRD 29,Marshawn Lynch right tackle for no gain (tackle by Glenn Carson),14,3,3.240,2.540
3,5:37,2,8,CRD 29,Timeout #1 by Seattle Seahawks,14,3,0.000,0.000
3,5:37,3,8,CRD 29,Russell Wilson pass incomplete short left intended for Doug Baldwin,14,3,2.540,1.500
3,5:34,4,8,CRD 29,Steven Hauschka 47 yard field goal no good,14,3,1.500,-1.400
3,5:29,1,10,CRD 37,Ryan Lindley pass incomplete deep right intended for Larry Fitzgerald,14,3,1.400,0.860
3,5:22,2,10,CRD 37,Ryan Lindley pass complete short right to Michael Floyd for 9 yards (tackle by Bobby Wagner),14,3,0.860,1.360
3,4:43,3,1,CRD 46,Robert Hughes up the middle for no gain (tackle by Kam Chancellor),14,3,1.360,-0.320
3,4:07,4,1,CRD 46,Stepfan Taylor up the middle for 2 yards (tackle by Michael Bennett),14,3,-0.320,2.130
3,3:22,1,10,CRD 48,Ryan Lindley pass complete deep right to Michael Floyd for 32 yards (tackle by Richard Sherman),14,3,2.130,4.240
3,2:36,1,10,SEA 20,Ryan Lindley sacked by Jordan Hill for -6 yards,14,3,4.240,2.880
3,1:53,2,16,SEA 26,Ryan Lindley pass complete short left to John Carlson for 12 yards (tackle by K.J. Wright and Earl Thomas),14,3,2.880,3.890
3,1:10,3,4,SEA 14,Ryan Lindley pass incomplete short middle intended for Marion Grice. Ryan Lindley fumbles recovered by Ryan Lindley at SEA-20,14,3,3.890,2.580
3,1:04,4,4,SEA 14,Chandler Catanzaro 32 yard field goal good,14,6,2.580,3.000
3,1:04,,,CRD 35,Chandler Catanzaro kicks off 71 yards returned by Paul Richardson for 27 yards (tackle by Marcus Benard),14,6,0.000,-0.340
3,0:54,1,10,SEA 21,Marshawn Lynch left tackle for 7 yards (tackle by Larry Foote),14,6,0.340,0.750
3,0:21,2,3,SEA 28,Marshawn Lynch right end for 13 yards (tackle by Alex Okafor),14,6,0.750,1.660
4,15:00,1,10,SEA 41,Russell Wilson sacked by Alex Okafor for -10 yards,14,6,1.660,-0.230
4,14:14,2,20,SEA 31,Russell Wilson pass complete deep right to Luke Willson for 39 yards (tackle by Rashad Johnson),14,6,-0.230,3.580
4,13:29,1,10,CRD 30,Russell Wilson pass complete short right to Paul Richardson for 8 yards (tackle by Patrick Peterson),14,6,3.580,4.110
4,12:45,2,2,CRD 22,Christine Michael up the middle for 2 yards (tackle by Tyrann Mathieu),14,6,4.110,4.240
4,12:05,1,10,CRD 20,Russell Wilson pass complete deep middle to Luke Willson for 20 yards touchdown,20,6,4.240,7.000
