Quarter,Time,Down,ToGo,Location,Detail,SEA,NWE,EPB,EPA
2,0:49,1,10,SEA 43,Tom Brady pass complete short middle to Shane Vereen for 16 yards (tackle by Bobby Wagner),7,7,2.720,3.780
2,0:40,1,10,SEA 43,Timeout #1 by New England Patriots,7,7,0.000,0.000
2,0:40,1,10,SEA 27,Tom Brady pass complete short right to Shane Vereen for 5 yards (tackle by K.J. Wright),7,7,3.780,3.910
2,0:36,2,5,SEA 22,Tom Brady pass complete deep right to Rob Gronkowski for 22 yards touchdown,7,13,3.910,7.000
2,0:36,,,,Stephen Gostkowski kicks extra point good,7,14,0.000,0.000
2,0:36,,,NWE 35,Stephen Gostkowski kicks off 65 yards touchback,7,14,0.000,-0.280
2,0:31,1,10,SEA 20,Robert Turbin middle for 19 yards (tackle by Devin McCourty),7,14,0.280,1.530
2,0:24,1,10,SEA 20,Timeout #1 by Seattle Seahawks,7,14,0.000,0.000
2,0:24,1,10,SEA 39,Russell Wilson for 17 yards (tackle by Devin McCourty),7,14,1.530,2.650
2,0:17,1,10,NWE 44,Russell Wilson pass incomplete,7,14,2.650,2.110
2,0:11,2,10,NWE 44,Russell Wilson pass complete deep left to Ricardo Lockette for 23 yards (tackle by Kyle Arrington). Penalty on Kyle Arrington: Face Mask (15 Yards) 10 yards,7,14,2.110,4.840
2,0:06,2,10,NWE 44,Timeout #2 by Seattle Seahawks,7,14,0.000,0.000
2,0:06,2,10,NWE 44,Timeout #2 by New England Patriots,7,14,0.000,0.000
2,0:06,1,10,NWE 11,Russell Wilson pass complete short left to Chris Matthews for 11 yards touchdown,13,14,4.840,7.000
2,0:06,,,,Steven Hauschka kicks extra point good,14,14,0.000,0.000
2,0:06,,,SEA 35,Steven Hauschka kicks off 33 yards returned by James Develin for 5 yards,14,14,0.000,2.260
3,15:00,,,NWE 35,Stephen Gostkowski kicks off 65 yards touchback,14,14,0.000,0.280
3,15:00,1,10,SEA 20,Marshawn Lynch middle for 3 yards (tackle by Patrick Chung),14,14,0.280,0.140
3,14:22,2,7,SEA 23,Marshawn Lynch middle for 15 yards (tackle by Chandler Jones and Devin McCourty),14,14,0.140,1.470
3,13:48,1,10,SEA 38,Russell Wilson pass complete deep left to Chris Matthews for 45 yards (tackle by Devin McCourty),14,14,1.470,4.440
3,13:17,1,10,NWE 17,Marshawn Lynch left tackle for 7 yards (tackle by Dont'a Hightower),14,14,4.440,5.100
3,12:34,2,3,NWE 10,Robert Turbin middle for 2 yards (tackle by Sealver Siliga),14,14,5.100,4.800
3,11:51,3,1,NWE 8,Marshawn Lynch left tackle for no gain (tackle by Rob Ninkovich),14,14,4.800,2.990
3,11:13,4,1,NWE 8,Steven Hauschka 27 yard field goal good,17,14,2.990,3.000
3,11:13,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,17,14,0.000,-0.280
3,11:09,1,10,NWE 20,Tom Brady pass complete short left to Julian Edelman for 3 yards (tackle by Kam Chancellor),17,14,0.280,0.140
3,10:29,2,7,NWE 23,LeGarrette Blount middle for 1 yard (tackle by Kevin Williams and Tony McDaniel),17,14,0.140,-0.430
3,9:45,3,6,NWE 24,Tom Brady pass complete short right to Rob Gronkowski for 7 yards (tackle by Earl Thomas),17,14,-0.430,1.000
3,9:03,1,10,NWE 31,LeGarrette Blount right end for 1 yard (tackle by Byron Maxwell),17,14,1.000,0.600
3,8:20,2,9,NWE 32,Tom Brady pass incomplete short middle intended for Rob Gronkowski,17,14,0.600,-0.100
3,8:15,3,9,NWE 32,Tom Brady pass incomplete short middle intended for Rob Gronkowski is intercepted by Bobby Wagner at NWE-40 and returned for 6 yards. Penalty on Richard Sherman: Illegal Block Above the Waist 10 yards,17,14,-0.100,-2.260
3,8:07,1,10,50,Russell Wilson pass complete short left to Chris Matthews for 9 yards (tackle by Brandon Browner),17,14,2.260,2.930
3,7:26,2,1,NWE 41,Marshawn Lynch right end for 3 yards (tackle by Jamie Collins),17,14,2.930,3.050
3,6:44,1,10,NWE 38,Russell Wilson left end for 15 yards (tackle by Devin McCourty). Penalty on Brandon Browner: Defensive Holding 5 yards,17,14,3.050,4.370
3,6:23,1,10,NWE 18,Marshawn Lynch middle for 14 yards (tackle by Rob Ninkovich),17,14,4.370,6.280
3,5:39,1,4,NWE 4,Marshawn Lynch left tackle for 1 yard (tackle by Jamie Collins and Sealver Siliga),17,14,6.280,5.530
3,5:00,2,3,NWE 3,Russell Wilson pass complete short right to Doug Baldwin for 3 yards touchdown. Penalty on Doug Baldwin: Unsportsmanlike Conduct 15 yards,23,14,5.530,7.000
3,5:00,,,,Steven Hauschka kicks extra point good,24,14,0.000,0.000
3,5:00,,,SEA 20,Steven Hauschka kicks off 66 yards returned by Danny Amendola for 21 yards (tackle by Steven Terrell),24,14,0.000,-1.270
3,4:48,1,10,NWE 35,Tom Brady pass complete short left to Julian Edelman for 17 yards (tackle by Tharold Simon). Penalty on Bryan Stork: Offensive Holding 10 yards (no play),24,14,1.270,0.610
3,4:19,1,20,NWE 25,Tom Brady pass incomplete deep left intended for Brandon LaFell,24,14,0.610,-0.630
3,4:13,2,20,NWE 25,Tom Brady pass complete short middle to Julian Edelman for 11 yards (tackle by Earl Thomas and Bobby Wagner),24,14,-0.630,0.170
3,3:28,3,9,NWE 36,Tom Brady pass incomplete short middle intended for Danny Amendola,24,14,0.170,-0.980
3,3:24,4,9,NWE 36,Ryan Allen punts 64 yards touchback,24,14,-0.980,-0.280
3,3:15,1,10,SEA 20,Russell Wilson pass complete deep middle to Ricardo Lockette for 25 yards (tackle by Brandon Browner),24,14,0.280,1.930
3,2:37,1,10,SEA 45,Marshawn Lynch middle for 2 yards (tackle by Malcolm Butler),24,14,1.930,1.650
3,1:54,2,8,SEA 47,Russell Wilson pass complete short right to Jermaine Kearse for 6 yards (tackle by Malcolm Butler),24,14,1.650,1.750
3,1:12,3,2,NWE 47,Russell Wilson pass incomplete deep left intended for Jermaine Kearse (defended by Malcolm Butler),24,14,1.750,0.130
3,1:05,4,2,NWE 47,Jon Ryan punts 33 yards out of bounds,24,14,0.130,0.280
3,0:55,1,10,NWE 14,Shane Vereen middle for 3 yards (tackle by Kam Chancellor),24,14,-0.280,-0.370
3,0:17,2,7,NWE 17,Tom Brady pass complete short left to James Develin for 6 yards (tackle by K.J. Wright),24,14,-0.370,-0.320
4,15:00,3,1,NWE 23,LeGarrette Blount right tackle for -1 yards (tackle by Kam Chancellor),24,14,-0.320,-1.900
4,14:28,4,2,NWE 22,Ryan Allen punts 48 yards returned by Bryan Walters for 6 yards (tackle by Matt Slater),24,14,-1.900,-1.330
4,14:17,1,10,SEA 36,Marshawn Lynch left end for 2 yards (tackle by Alan Branch),24,14,1.330,1.060
4,13:42,2,8,SEA 38,Marshawn Lynch middle for 1 yard (tackle by Vince Wilfork),24,14,1.060,0.500
4,13:01,3,7,SEA 39,Russell Wilson sacked by Rob Ninkovich for -8 yards,24,14,0.500,-1.310
4,12:22,4,15,SEA 31,Jon Ryan punts 52 yards returned by Julian Edelman for 15 yards (tackle by Jeron Johnson),24,14,-1.310,-1.070
4,12:10,1,10,NWE 32,Tom Brady sacked by Bruce Irvin for -8 yards,24,14,1.070,-0.550
4,11:30,2,18,NWE 24,Tom Brady pass complete short right to Brandon LaFell for 4 yards (tackle by Richard Sherman),24,14,-0.550,-0.690
4,10:58,3,14,NWE 28,Tom Brady pass complete deep middle to Julian Edelman for 21 yards (tackle by Kam Chancellor),24,14,-0.690,2.190
4,9:52,1,10,NWE 49,Tom Brady pass complete short left to Shane Vereen for 9 yards (tackle by Earl Thomas). Penalty on Earl Thomas: Unnecessary Roughness 15 yards,24,14,2.190,3.780
4,9:36,1,10,SEA 27,Tom Brady pass incomplete deep left intended for Brandon LaFell (defended by Tharold Simon),24,14,3.780,3.230
4,9:28,2,10,SEA 27,Shane Vereen right tackle for 2 yards (tackle by K.J. Wright),24,14,3.230,2.810
4,8:46,3,8,SEA 25,Tom Brady pass complete short middle to Julian Edelman for 21 yards (tackle by Earl Thomas),24,14,2.810,6.280
4,8:04,1,4,SEA 4,Tom Brady pass incomplete short left intended for Julian Edelman,24,14,6.280,5.340
4,8:00,2,4,SEA 4,Tom Brady pass complete short middle to Danny Amendola for 4 yards touchdown,24,20,5.340,7.000
4,8:00,,,,Stephen Gostkowski kicks extra point good,24,21,0.000,0.000
4,8:00,,,NWE 35,Stephen Gostkowski kicks off 65 yards touchback,24,21,0.000,-0.280
4,7:55,1,10,SEA 20,Russell Wilson pass incomplete deep middle intended for Ricardo Lockette,24,21,0.280,-0.270
4,7:48,2,10,SEA 20,Marshawn Lynch middle for 5 yards (tackle by Sealver Siliga),24,21,-0.270,-0.300
4,7:06,3,5,SEA 25,Russell Wilson pass incomplete short right intended for Marshawn Lynch,24,21,-0.300,-1.700
4,7:00,4,5,SEA 25,Jon Ryan punts 39 yards fair catch by Julian Edelman,24,21,-1.700,-1.330
4,6:52,1,10,NWE 36,Tom Brady pass complete short middle to Shane Vereen for 8 yards (tackle by Kam Chancellor and K.J. Wright),24,21,1.330,1.870
4,6:13,2,2,NWE 44,Tom Brady pass complete short left to Shane Vereen for 5 yards (tackle by Kam Chancellor),24,21,1.870,2.190
4,5:32,1,10,NWE 49,Tom Brady pass complete short left to Julian Edelman for 9 yards (tackle by Kevin Williams),24,21,2.190,2.860
4,4:55,2,1,SEA 42,Tom Brady pass complete short right to Shane Vereen for 6 yards (tackle by Byron Maxwell). Penalty on Danny Amendola: Offensive Pass Interference 10 yards (no play),24,21,2.860,1.510
4,4:47,2,11,NWE 48,Tom Brady pass complete short right to Rob Gronkowski for 20 yards (tackle by Kam Chancellor and Earl Thomas),24,21,1.510,3.450
4,4:12,1,10,SEA 32,Tom Brady pass complete short right to Shane Vereen for no gain,24,21,3.450,2.900
4,4:05,2,10,SEA 32,Tom Brady pass complete short right to Rob Gronkowski for 13 yards (tackle by K.J. Wright and Kam Chancellor),24,21,2.900,4.310
4,3:34,1,10,SEA 19,Shane Vereen middle for 7 yards (tackle by Bobby Wagner),24,21,4.310,4.920
4,2:57,2,3,SEA 12,Tom Brady pass complete short left to Brandon LaFell for 7 yards,24,21,4.920,6.060
4,2:52,2,3,SEA 12,Timeout #1 by New England Patriots,24,21,0.000,0.000
4,2:52,1,5,SEA 5,LeGarrette Blount middle for 2 yards (tackle by Michael Bennett),24,21,6.060,5.530
4,2:06,2,3,SEA 3,Tom Brady pass complete short left to Julian Edelman for 3 yards touchdown,24,27,5.530,7.000
4,2:06,,,,Stephen Gostkowski kicks extra point good,24,28,0.000,0.000
4,2:06,,,NWE 35,Stephen Gostkowski kicks off 65 yards touchback,24,28,0.000,-0.280
4,2:02,1,10,SEA 20,Russell Wilson pass complete deep left to Marshawn Lynch for 31 yards (tackle by Jamie Collins),24,28,0.280,2.320
4,1:55,1,10,NWE 49,Russell Wilson pass incomplete deep right intended for Jermaine Kearse (defended by Malcolm Butler),24,28,2.320,1.780
4,1:50,1,10,NWE 49,Timeout #1 by Seattle Seahawks,24,28,0.000,0.000
4,1:50,2,10,NWE 49,Russell Wilson pass incomplete deep right intended for Chris Matthews (defended by Brandon Browner),24,28,1.780,1.090
4,1:41,3,10,NWE 49,Russell Wilson pass complete short right to Ricardo Lockette for 11 yards (tackle by Logan Ryan),24,28,1.090,3.050
4,1:14,1,10,NWE 38,Russell Wilson pass complete deep right to Jermaine Kearse for 33 yards (tackle by Malcolm Butler),24,28,3.050,6.060
4,1:06,1,10,NWE 38,Timeout #2 by Seattle Seahawks,24,28,0.000,0.000
4,1:06,1,5,NWE 5,Marshawn Lynch left tackle for 4 yards (tackle by Dont'a Hightower),24,28,6.060,5.910
4,0:26,2,1,NWE 1,Russell Wilson pass incomplete short right intended for Ricardo Lockette is intercepted by Malcolm Butler at NWE--1 and returned for 3 yards. Penalty on NWE: Unsportsmanlike Conduct 1 yards,24,28,5.910,0.380
4,0:20,2,1,NWE 1,Timeout #2 by New England Patriots,24,28,0.000,0.000
4,0:20,1,10,NWE 1,Penalty on Michael Bennett: Encroachment 5 yards (no play),24,28,-0.380,-0.190
4,0:20,1,5,NWE 6,Tom Brady kneels for -1 yards. Penalty on Bruce Irvin: Disqualification 15 yards,24,28,-0.190,0.280
4,0:18,1,5,NWE 6,Timeout #3 by Seattle Seahawks,24,28,0.000,0.000
4,0:18,1,10,NWE 20,Tom Brady kneels for -2 yards,24,28,0.280,-0.630
