Quarter,Time,Down,ToGo,Location,Detail,STL,SEA,EPB,EPA
2,1:16,3,1,SEA 47,Timeout #1 by St. Louis Rams,6,0,0.000,0.000
2,1:16,4,2,SEA 46,Jon Ryan punts 38 yards fair catch by Tavon Austin,6,0,-0.320,0.140
2,1:09,1,10,RAM 16,Benny Cunningham right tackle for -1 yards (tackle by Kam Chancellor and K.J. Wright),6,0,-0.140,-0.780
2,1:02,1,10,RAM 16,Timeout #1 by Seattle Seahawks,6,0,0.000,0.000
2,1:02,2,11,RAM 15,Benny Cunningham left tackle for no gain (tackle by Kam Chancellor and K.J. Wright),6,0,-0.780,-1.470
2,0:57,2,11,RAM 15,Timeout #2 by Seattle Seahawks,6,0,0.000,0.000
2,0:57,3,11,RAM 15,Benny Cunningham right tackle for 5 yards (tackle by Richard Sherman),6,0,-1.470,-2.030
2,0:53,3,11,RAM 15,Timeout #3 by Seattle Seahawks,6,0,0.000,0.000
2,0:53,4,6,RAM 20,Johnny Hekker punts 55 yards returned by Bryan Walters for 4 yards (tackle by Chase Reynolds),6,0,-2.030,-0.870
2,0:43,1,10,SEA 29,Russell Wilson pass incomplete short right intended for Doug Baldwin,6,0,0.870,0.330
2,0:41,2,10,SEA 29,Marshawn Lynch left end for 6 yards (tackle by Alec Ogletree),6,0,0.330,0.430
2,0:34,3,4,SEA 35,Russell Wilson pass complete deep middle to Luke Willson for 28 yards (tackle by Rodney McLeod). Penalty on Chris Long: Defensive Offside (Declined),6,0,0.430,3.120
2,0:23,1,10,RAM 37,Russell Wilson sacked by Aaron Donald for -7 yards,6,0,3.120,1.360
,,,,,Replay Assistant challenged the runner was down by contact ruling and the play was overturned. Russell Wilson sacked by Aaron Donald for -9 yards. Russell Wilson fumbles (forced by Aaron Donald) recovered by Justin Britt at STL-46,,,,
2,0:02,1,10,RAM 37,Timeout #2 by St. Louis Rams,6,0,0.000,0.000
2,0:02,2,19,RAM 46,Russell Wilson pass complete short left to Doug Baldwin for 38 yards (tackle by T.J. McDonald),6,0,1.360,-0.140
3,15:00,,,RAM 35,Greg Zuerlein kicks off 65 yards touchback,6,0,0.000,0.280
3,15:00,1,10,SEA 20,Russell Wilson right end for 5 yards (tackle by James Laurinaitis),6,0,0.280,0.410
3,14:24,2,5,SEA 25,Marshawn Lynch left tackle for 3 yards (tackle by T.J. McDonald and James Laurinaitis),6,0,0.410,0.100
3,13:47,3,2,SEA 28,Russell Wilson pass complete short right to Marshawn Lynch for 14 yards (tackle by Michael Brockers and James Laurinaitis),6,0,0.100,1.730
3,13:02,1,10,SEA 42,Russell Wilson pass complete deep left to Paul Richardson for 32 yards,6,0,1.730,3.840
3,12:34,1,10,RAM 26,Russell Wilson pass complete short left to Paul Richardson for 4 yards (tackle by Janoris Jenkins),6,0,3.840,3.840
3,12:02,2,6,RAM 22,Russell Wilson pass complete short right to Doug Baldwin for -2 yards (tackle by Rodney McLeod),6,0,3.840,2.870
3,11:21,3,8,RAM 24,Russell Wilson pass incomplete short middle intended for Luke Willson,6,0,2.870,1.870
3,11:17,4,8,RAM 24,Steven Hauschka 42 yard field goal good,6,3,1.870,3.000
3,11:17,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,6,3,0.000,-0.280
3,11:13,1,10,RAM 20,Shaun Hill sacked by Kevin Williams for -8 yards,6,3,0.280,-1.360
3,10:31,2,18,RAM 12,Tavon Austin right tackle for -1 yards (tackle by Michael Bennett),6,3,-1.360,-2.470
3,9:51,3,19,RAM 11,Shaun Hill pass complete short middle to Benny Cunningham for 3 yards (tackle by Bobby Wagner),6,3,-2.470,-2.470
3,9:20,4,16,RAM 14,Johnny Hekker punts 55 yards out of bounds,6,3,-2.470,-1.000
3,9:12,1,10,SEA 31,Marshawn Lynch left guard for 7 yards (tackle by Alec Ogletree),6,3,1.000,1.410
3,8:35,2,3,SEA 38,Marshawn Lynch left tackle for 1 yard (tackle by Robert Quinn and Alec Ogletree),6,3,1.410,0.830
3,7:50,3,2,SEA 39,Russell Wilson pass complete short middle to Paul Richardson for 13 yards (tackle by Trumaine Johnson),6,3,0.830,2.390
3,7:08,1,10,RAM 48,Russell Wilson pass complete deep right to Tony Moeaki for 21 yards (tackle by Trumaine Johnson),6,3,2.390,3.780
3,6:25,1,10,RAM 27,Marshawn Lynch left guard for 4 yards (tackle by T.J. McDonald),6,3,3.780,3.770
3,5:48,2,6,RAM 23,Russell Wilson pass complete short right to Paul Richardson for 2 yards (tackle by Eugene Sims),6,3,3.770,3.340
3,5:07,3,4,RAM 21,Russell Wilson sacked by Lamarcus Joyner for -6 yards. Penalty on Russell Okung: Offensive Holding (Declined),6,3,3.340,1.670
3,4:50,4,10,RAM 27,Steven Hauschka 45 yard field goal good,6,6,1.670,3.000
3,4:50,,,SEA 35,Steven Hauschka kicks off 73 yards returned by Benny Cunningham for 25 yards (tackle by Jeron Johnson),6,6,0.000,0.060
3,4:39,1,10,RAM 17,Tre Mason right tackle for 13 yards (tackle by Earl Thomas),6,6,-0.060,0.940
3,4:17,1,10,RAM 30,Shaun Hill pass complete short right to Kenny Britt for 7 yards (tackle by Richard Sherman),6,6,0.940,1.340
3,3:43,2,3,RAM 37,Tre Mason left tackle for 8 yards (tackle by K.J. Wright and Earl Thomas),6,6,1.340,1.930
3,3:00,1,10,RAM 45,Shaun Hill pass complete short middle to Kenny Britt for 12 yards (tackle by K.J. Wright),6,6,1.930,2.720
3,2:28,1,10,SEA 43,Shaun Hill pass incomplete deep left intended for Kenny Britt (defended by Byron Maxwell),6,6,2.720,2.180
3,2:22,2,10,SEA 43,Shaun Hill pass complete short middle to Chris Givens for 6 yards (tackle by Byron Maxwell and Bobby Wagner),6,6,2.180,2.280
3,1:38,3,4,SEA 37,Shaun Hill pass complete short middle to Jared Cook for 12 yards (tackle by Earl Thomas),6,6,2.280,3.910
3,0:59,1,10,SEA 25,Tre Mason right tackle for 1 yard (tackle by Bobby Wagner and Tony McDaniel),6,6,3.910,3.500
3,0:16,2,9,SEA 24,Shaun Hill pass complete short left to Tavon Austin for 2 yards (tackle by Earl Thomas). Penalty on Stedman Bailey: Offensive Holding 10 yards (no play),6,6,3.500,2.150
4,15:00,2,19,SEA 34,Shaun Hill pass incomplete short middle intended for Tre Mason is intercepted by Jordan Hill at SEA-38 and returned for 8 yards,6,6,2.150,-1.990
,,,,,Replay Assistant challenged the incomplete pass ruling and the play was upheld.,,,,
4,14:51,1,10,SEA 46,Marshawn Lynch up the middle for 4 yards (tackle by Eugene Sims and Aaron Donald),6,6,1.990,1.990
